0,0.012,0.06
1,0.012,0.06
2,0.012,0.06
3,0.012,0.06
4,0.2,0.009
5,0.2,0.009
6,0.2,0.009
7,0.2,0.009
8,0.2,0.009
9,0.2,0.009
10,0.407,0.036
11,0.407,0.036
12,0.407,0.036
13,0.407,0.036
14,0.407,0.036
15,0.407,0.036
16,0.632,0.063
17,0.632,0.063
18,0.632,0.063
19,0.632,0.063
20,0.632,0.063
21,0.632,0.063
22,0.75,0.185
23,0.75,0.185
24,0.75,0.185
25,0.75,0.185
26,0.75,0.185
27,0.75,0.185
28,0.92,0.6
29,0.92,0.6
30,0.92,0.6
31,0.92,0.6
32,0.92,0.6
33,0.92,0.6
34,0.995,0.9
35,0.995,0.9
36,0.995,0.9
37,0.995,0.9
38,0.995,0.9
39,0.995,0.9
40,0.3,0.009
41,0.3,0.009
42,0.3,0.009
43,0.3,0.009
44,0.3,0.009
45,0.3,0.009
46,0.495,0.036
47,0.495,0.036
48,0.495,0.036
49,0.495,0.036
50,0.495,0.036
51,0.495,0.036
52,0.745,0.063
53,0.745,0.063
54,0.745,0.063
55,0.745,0.063
56,0.745,0.063
57,0.745,0.063
58,0.85,0.185
59,0.85,0.185
60,0.85,0.185
61,0.85,0.185
62,0.85,0.185
63,0.85,0.185
64,0.945,0.6
65,0.945,0.6
66,0.945,0.6
67,0.945,0.6
68,0.945,0.6
69,0.945,0.6
70,0.995,0.9
71,0.995,0.9
72,0.995,0.9
73,0.995,0.9
74,0.995,0.9
75,0.995,0.9
76,0.3,0.009
77,0.3,0.009
78,0.3,0.009
79,0.3,0.009
80,0.3,0.009
81,0.3,0.009
82,0.495,0.036
83,0.495,0.036
84,0.495,0.036
85,0.495,0.036
86,0.495,0.036
87,0.495,0.036
88,0.745,0.063
89,0.745,0.063
90,0.745,0.063
91,0.745,0.063
92,0.745,0.063
93,0.745,0.063
94,0.85,0.185
95,0.85,0.185
96,0.85,0.185
97,0.85,0.185
98,0.85,0.185
99,0.85,0.185
100,0.945,0.6
101,0.945,0.6
102,0.945,0.6
103,0.945,0.6
104,0.945,0.6
105,0.945,0.6
106,0.995,0.9
107,0.995,0.9
108,0.995,0.9
109,0.995,0.9
110,0.995,0.9
111,0.995,0.9
112,0.3,0.009
113,0.3,0.009
114,0.3,0.009
115,0.3,0.009
116,0.3,0.009
117,0.3,0.009
118,0.495,0.036
119,0.495,0.036
120,0.495,0.036
121,0.495,0.036
122,0.495,0.036
123,0.495,0.036
124,0.745,0.063
125,0.745,0.063
126,0.745,0.063
127,0.745,0.063
128,0.745,0.063
129,0.745,0.063
130,0.85,0.185
131,0.85,0.185
132,0.85,0.185
133,0.85,0.185
134,0.85,0.185
135,0.85,0.185
136,0.945,0.6
137,0.945,0.6
138,0.945,0.6
139,0.945,0.6
140,0.945,0.6
141,0.945,0.6
142,0.995,0.9
143,0.995,0.9
144,0.995,0.9
145,0.995,0.9
146,0.995,0.9
147,0.995,0.9
148,0,0
149,0,0
