0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.4,0.4,0.4,0.527,0.527,0.527
0.4,0.482,0.532,0.527,0.599,0.642
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.4,0.4,0.4,0.527,0.527,0.527
0.4,0.482,0.532,0.527,0.599,0.642
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.882,0.882,0.882
0.82,0.861,0.884,0.882,0.913,0.931
0.4,0.4,0.4,0.527,0.527,0.527
0.4,0.482,0.532,0.527,0.599,0.642
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.882,0.882,0.882
0.82,0.861,0.884,0.882,0.913,0.931
0.4,0.4,0.4,0.527,0.527,0.527
0.4,0.482,0.532,0.527,0.599,0.642
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.882,0.882,0.882
0.82,0.861,0.884,0.882,0.913,0.931
0.4,0.4,0.4,0.527,0.527,0.527
0.4,0.482,0.532,0.527,0.599,0.642
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.882,0.882,0.882
0.82,0.861,0.884,0.882,0.913,0.931
0.4,0.4,0.4,0.527,0.527,0.527
0.4,0.482,0.532,0.527,0.599,0.642
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.4,0.4,0.4,0.47,0.47,0.47
0.4,0.492,0.549,0.47,0.558,0.611
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.4,0.4,0.4,0.47,0.47,0.47
0.4,0.492,0.549,0.47,0.558,0.611
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.867,0.867,0.867
0.82,0.881,0.916,0.867,0.921,0.952
0.4,0.4,0.4,0.47,0.47,0.47
0.4,0.492,0.549,0.47,0.558,0.611
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.867,0.867,0.867
0.82,0.881,0.916,0.867,0.921,0.952
0.4,0.4,0.4,0.47,0.47,0.47
0.4,0.492,0.549,0.47,0.558,0.611
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.867,0.867,0.867
0.82,0.881,0.916,0.867,0.921,0.952
0.4,0.4,0.4,0.47,0.47,0.47
0.4,0.492,0.549,0.47,0.558,0.611
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.867,0.867,0.867
0.82,0.881,0.916,0.867,0.921,0.952
0.4,0.4,0.4,0.47,0.47,0.47
0.4,0.492,0.549,0.47,0.558,0.611
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.4,0.4,0.4,0.446,0.446,0.446
0.4,0.509,0.578,0.446,0.554,0.621
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.4,0.4,0.4,0.446,0.446,0.446
0.4,0.509,0.578,0.446,0.554,0.621
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.864,0.864,0.864
0.82,0.921,0.98,0.864,0.959,1
0.4,0.4,0.4,0.446,0.446,0.446
0.4,0.509,0.578,0.446,0.554,0.621
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.864,0.864,0.864
0.82,0.921,0.98,0.864,0.959,1
0.4,0.4,0.4,0.446,0.446,0.446
0.4,0.509,0.578,0.446,0.554,0.621
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.864,0.864,0.864
0.82,0.921,0.98,0.864,0.959,1
0.4,0.4,0.4,0.446,0.446,0.446
0.4,0.509,0.578,0.446,0.554,0.621
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.82,0.82,0.82,0.864,0.864,0.864
0.82,0.921,0.98,0.864,0.959,1
0.4,0.4,0.4,0.446,0.446,0.446
0.4,0.509,0.578,0.446,0.554,0.621
0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.2,0.2,0.2,0.268,0.268,0.268
0.2,0.37,0.493,0.268,0.448,0.575
0.025,0.025,0.025,0.025,0.025,0.025
0.025,0.025,0.025,0.025,0.025,0.025
0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99,0.99
0.2,0.2,0.2,0.268,0.268,0.268
0.2,0.37,0.493,0.268,0.448,0.575
0.025,0.025,0.025,0.025,0.025,0.025
0.025,0.025,0.025,0.025,0.025,0.025
0.82,0.82,0.82,0.957,0.957,0.957
0.82,1,1,0.957,1,1
0.2,0.2,0.2,0.268,0.268,0.268
0.2,0.37,0.493,0.268,0.448,0.575
0.025,0.025,0.025,0.025,0.025,0.025
0.025,0.025,0.025,0.025,0.025,0.025
0.82,0.82,0.82,0.957,0.957,0.957
0.82,1,1,0.957,1,1
0.2,0.2,0.2,0.268,0.268,0.268
0.2,0.37,0.493,0.268,0.448,0.575
0.025,0.025,0.025,0.025,0.025,0.025
0.025,0.025,0.025,0.025,0.025,0.025
0.82,0.82,0.82,0.957,0.957,0.957
0.82,1,1,0.957,1,1
0.2,0.2,0.2,0.268,0.268,0.268
0.2,0.37,0.493,0.268,0.448,0.575
0.025,0.025,0.025,0.025,0.025,0.025
0.025,0.025,0.025,0.025,0.025,0.025
0.82,0.82,0.82,0.957,0.957,0.957
0.82,1,1,0.957,1,1
0.2,0.2,0.2,0.268,0.268,0.268
0.2,0.37,0.493,0.268,0.448,0.575
0.025,0.025,0.025,0.025,0.025,0.025
0.025,0.025,0.025,0.025,0.025,0.025
0,0,0,0,0,0
0,0,0,0,0,0
